acc,time,exp
0.992087364197,1782135,random1
0.992287635803,41420264,random1
0.993389427662,55864057,random1
0.993489563465,2819786614,random1
0.993990361691,3574441975,random1
0.0974559262395,10234452,random2
0.107572115958,23599893,random2
0.991887032986,25689041,random2
0.99298876524,33802295,random2
0.993489563465,334030751,random2
0.993589758873,1332324805,random2
0.993890225887,6374542652,random2
0.993990361691,7377380171,random2
0.9908854365348816,1135964,timing-1e-7
0.9913758039474487,3464991,timing-1e-7
0.9922876358032227,8731795,timing-1e-7
0.9923903942108154,19229942,timing-1e-7
0.9925881624221802,22415737,timing-1e-7
0.993100643157959,38886713,timing-1e-7
0.9931890964508057,91115445,timing-1e-7
0.9934895634651184,100951413,timing-1e-7
0.9938902258872986,288319995,timing-1e-7
0.9939903616905212,675024916,timing-1e-7
0.9908854365348816,1135964,timing-2e-7
0.9913758039474487,3464991,timing-2e-7
0.9922876358032227,8731795,timing-2e-7
0.9924879670143127,53546870,timing-2e-7
0.993088960647583,59456582,timing-2e-7
0.9934895634651184,87910481,timing-2e-7
0.9935897588729858,546985918,timing-2e-7
0.9938902258872986,721071622,timing-2e-7
0.9939903616905212,1512346929,timing-2e-7
0.9908854365348816,1135964,timing-3e-7
0.9913758039474487,3464991,timing-3e-7
0.9922876358032227,8731795,timing-3e-7
0.9932892918586731,42590043,timing-3e-7
0.9938902258872986,389885803,timing-3e-7
0.9939903616905212,2511249242,timing-3e-7
0.9908854365348816,1135964,timing-4e-7
0.9913758039474487,3464991,timing-4e-7
0.9922876358032227,8731795,timing-4e-7
0.9923903942108154,83844925,timing-4e-7
0.9926882982254028,104568254,timing-4e-7
0.992943525314331,153839530,timing-4e-7
0.9932892918586731,312256624,timing-4e-7
0.9934895634651184,561243718,timing-4e-7
0.9938902258872986,1335883347,timing-4e-7
0.9939903616905212,1378840015,timing-4e-7
0.9908854365348816,1135964,timing-5e-7
0.9913758039474487,3464991,timing-5e-7
0.9922876358032227,8731795,timing-5e-7
0.9925881624221802,17039256,timing-5e-7
0.9934895634651184,32469131,timing-5e-7
0.9939903616905212,444675027,timing-5e-7
0.9908854365348816,1135964,timing-6e-7
0.9913758039474487,3464991,timing-6e-7
0.9922876358032227,8731795,timing-6e-7
0.9925881624221802,19015091,timing-6e-7
0.993088960647583,50314300,timing-6e-7
0.9932892918586731,128229371,timing-6e-7
0.9933894276618958,225005850,timing-6e-7
0.9934895634651184,767626187,timing-6e-7
0.9939903616905212,987666458,timing-6e-7
0.9908854365348816,1135964,timing-7e-7
0.9913758039474487,3464991,timing-7e-7
0.9922876358032227,8731795,timing-7e-7
0.9924395084381104,20634908,timing-7e-7
0.9929887652397156,36309635,timing-7e-7
0.9933894276618958,68178603,timing-7e-7
0.9937900900840759,688700139,timing-7e-7
0.9939903616905212,922165385,timing-7e-7
0.9908854365348816,1135964,timing-8e-7
0.9913758039474487,3464991,timing-8e-7
0.9922876358032227,8731795,timing-8e-7
0.9924879670143127,24363240,timing-8e-7
0.993088960647583,39133062,timing-8e-7
0.9932892918586731,92190793,timing-8e-7
0.9936898946762085,116399949,timing-8e-7
0.9939903616905212,617091039,timing-8e-7
0.9908854365348816,1135964,timing-9e-7
0.9913758039474487,3464991,timing-9e-7
0.9922876358032227,8731795,timing-9e-7
0.9924879670143127,21270452,timing-9e-7
0.9927884340286255,23931365,timing-9e-7
0.9929887652397156,32697435,timing-9e-7
0.9932892918586731,48966043,timing-9e-7
0.9933894276618958,491492490,timing-9e-7
0.9935897588729858,516447803,timing-9e-7
0.9938902258872986,844037415,timing-9e-7
0.9939903616905212,1778233548,timing-9e-7
