accuracy:0.9913862347602844 time:2230788 mandolin.mx.trainer.initial-learning-rate:0.025699586656810772 mandolin.mx.specification.fcFinal.num_hidden:800 mandolin.trainer.mini-batch-size:128 mandolin.trainer.num-epochs:140 mandolin.mx.train.optimizer:nag mandolin.mx.specification.act1.act_type:relu mandolin.mx.specification.act2.act_type:sigmoid
accuracy:0.9518229365348816 time:1627251 mandolin.mx.trainer.initial-learning-rate:0.03305240051821974 mandolin.mx.specification.fcFinal.num_hidden:800 mandolin.trainer.mini-batch-size:192 mandolin.trainer.num-epochs:80 mandolin.mx.train.optimizer:adam mandolin.mx.specification.act1.act_type:tanh mandolin.mx.specification.act2.act_type:tanh
accuracy:0.9919871687889099 time:2887691 mandolin.mx.trainer.initial-learning-rate:0.035523316557799944 mandolin.mx.specification.fcFinal.num_hidden:800 mandolin.trainer.mini-batch-size:96 mandolin.trainer.num-epochs:180 mandolin.mx.train.optimizer:sgd mandolin.mx.specification.act1.act_type:relu mandolin.mx.specification.act2.act_type:relu
accuracy:0.9922876358032227 time:2049480 mandolin.mx.trainer.initial-learning-rate:0.07790710788479575 mandolin.mx.specification.fcFinal.num_hidden:500 mandolin.trainer.mini-batch-size:96 mandolin.trainer.num-epochs:140 mandolin.mx.train.optimizer:sgd mandolin.mx.specification.act1.act_type:relu mandolin.mx.specification.act2.act_type:sigmoid
accuracy:0.9933894276618958 time:3757692 mandolin.mx.trainer.initial-learning-rate:0.08248043064253924 mandolin.mx.specification.fcFinal.num_hidden:300 mandolin.trainer.mini-batch-size:32 mandolin.trainer.num-epochs:180 mandolin.mx.train.optimizer:sgd mandolin.mx.specification.act1.act_type:relu mandolin.mx.specification.act2.act_type:relu
accuracy:0.9909273982048035 time:798449 mandolin.mx.trainer.initial-learning-rate:0.08914972747462793 mandolin.mx.specification.fcFinal.num_hidden:300 mandolin.trainer.mini-batch-size:160 mandolin.trainer.num-epochs:60 mandolin.mx.train.optimizer:sgd mandolin.mx.specification.act1.act_type:tanh mandolin.mx.specification.act2.act_type:tanh
accuracy:0.09805689007043839 time:1557804 mandolin.mx.trainer.initial-learning-rate:0.09410109587711088 mandolin.mx.specification.fcFinal.num_hidden:600 mandolin.trainer.mini-batch-size:128 mandolin.trainer.num-epochs:60 mandolin.mx.train.optimizer:adam mandolin.mx.specification.act1.act_type:relu mandolin.mx.specification.act2.act_type:sigmoid
accuracy:0.991286039352417 time:1049082 mandolin.mx.trainer.initial-learning-rate:0.0734872731923897 mandolin.mx.specification.fcFinal.num_hidden:800 mandolin.trainer.mini-batch-size:96 mandolin.trainer.num-epochs:60 mandolin.mx.train.optimizer:sgd mandolin.mx.specification.act1.act_type:sigmoid mandolin.mx.specification.act2.act_type:tanh
accuracy:0.9261819124221802 time:2298140 mandolin.mx.trainer.initial-learning-rate:0.026289105462766575 mandolin.mx.specification.fcFinal.num_hidden:800 mandolin.trainer.mini-batch-size:192 mandolin.trainer.num-epochs:80 mandolin.mx.train.optimizer:adam mandolin.mx.specification.act1.act_type:tanh mandolin.mx.specification.act2.act_type:sigmoid
accuracy:0.9920860528945923 time:1647310 mandolin.mx.trainer.initial-learning-rate:0.05514426087056781 mandolin.mx.specification.fcFinal.num_hidden:300 mandolin.trainer.mini-batch-size:224 mandolin.trainer.num-epochs:160 mandolin.mx.train.optimizer:sgd mandolin.mx.specification.act1.act_type:relu mandolin.mx.specification.act2.act_type:relu
