acc,time,exp
0.9908854365348816,1135964,timing-1e-7
0.9913758039474487,3464991,timing-1e-7
0.9922876358032227,8731795,timing-1e-7
0.9925881624221802,17701105,timing-1e-7
0.9928886294364929,48460630,timing-1e-7
0.9934895634651184,70047809,timing-1e-7
0.9939903616905212,885771987,timing-1e-7
0.9908854365348816,1135964,timing-2e-7
0.9913758039474487,3464991,timing-2e-7
0.9922876358032227,8731795,timing-2e-7
0.9922889471054077,22763816,timing-2e-7
0.9925881624221802,51104430,timing-2e-7
0.9928886294364929,57259386,timing-2e-7
0.9929887652397156,116839001,timing-2e-7
0.9938902258872986,156458658,timing-2e-7
0.9939903616905212,522050673,timing-2e-7
0.9908854365348816,1135964,timing-3e-7
0.9913758039474487,3464991,timing-3e-7
0.9922876358032227,8731795,timing-3e-7
0.9923878312110901,44310481,timing-3e-7
0.9932892918586731,50302033,timing-3e-7
0.9934895634651184,467343551,timing-3e-7
0.9939903616905212,968729950,timing-3e-7
0.9908854365348816,1135964,timing-4e-7
0.9913758039474487,3464991,timing-4e-7
0.9922876358032227,8731795,timing-4e-7
0.9926882982254028,18505682,timing-4e-7
0.9928977489471436,31234365,timing-4e-7
0.993088960647583,40368680,timing-4e-7
0.9931890964508057,295728786,timing-4e-7
0.9939903616905212,436531380,timing-4e-7
0.9908854365348816,1135964,timing-5e-7
0.9913758039474487,3464991,timing-5e-7
0.9922876358032227,8731795,timing-5e-7
0.9923878312110901,40993119,timing-5e-7
0.9924879670143127,119900869,timing-5e-7
0.9929887652397156,134397298,timing-5e-7
0.9931890964508057,180543481,timing-5e-7
0.9938902258872986,292716597,timing-5e-7
0.9939903616905212,1113685243,timing-5e-7
0.9908854365348816,1135964,timing-6e-7
0.9913758039474487,3464991,timing-6e-7
0.9922876358032227,8731795,timing-6e-7
0.9934895634651184,34966189,timing-6e-7
0.9939903616905212,174691535,timing-6e-7
0.9908854365348816,1135964,timing-7e-7
0.9913758039474487,3464991,timing-7e-7
0.9922876358032227,8731795,timing-7e-7
0.9924879670143127,18811899,timing-7e-7
0.9932892918586731,29930526,timing-7e-7
0.9934050440788269,197661146,timing-7e-7
0.9934895634651184,736961946,timing-7e-7
0.9939903616905212,908131709,timing-7e-7
0.9908854365348816,1135964,timing-8e-7
0.9913758039474487,3464991,timing-8e-7
0.9922876358032227,8731795,timing-8e-7
0.9931890964508057,46647574,timing-8e-7
0.9933894276618958,108356255,timing-8e-7
0.9937900900840759,121150365,timing-8e-7
0.9939903616905212,1176064459,timing-8e-7
0.9908854365348816,1135964,timing-9e-7
0.9913758039474487,3464991,timing-9e-7
0.9922876358032227,8731795,timing-9e-7
0.9927884340286255,64417526,timing-9e-7
0.9934895634651184,143116208,timing-9e-7
0.9935897588729858,1672389731,timing-9e-7
0.9938902258872986,2720241127,timing-9e-7
0.9939903616905212,4390548141,timing-9e-7
0.992087364197,3003279,random
0.992287635803,8109973,random
0.992487967014,43710029,random
0.993088960648,95740815,random
0.993189096451,425276650,random
0.993289291859,1001277477,random
0.993890225887,1281733772,random
0.993990361691,2836357007,random
0.9908854365348816,1135964,timing-0
0.9913758039474487,3464991,timing-0
0.9922876358032227,8731795,timing-0
0.9926882982254028,34528726,timing-0
0.9932020902633667,36799838,timing-0
0.9934895634651184,121306417,timing-0
0.9939903616905212,230449329,timing-0
